# Population 1	PMI_MAL_051901,PMI_MAL_051902,PMI_MAL_051903,PMI_MAL_051904,PMI_MAL_051905_2,PMI_MAL_051906,PMI_MAL_051907_F,PMI_MAL_051908_2,PMI_MAS_031401,PMI_MAS_031402
# Population 2	PMI_CYP_041801,PMI_CYP_041803,PMI_CYP_041804,PMI_CYP_041805,PMI_CYP_041806,PMI_CYP_041808,PMI_CYP_041809,PMI_CYP_041810,PMI_CYP_041811,PMI_CYP_041812,PMI_CYP_041813,PMI_CYP_041814,PMI_CYP_041817,PMI_CYP_041818,PMI_CYP_041819,PMI_CYP_041820,PMI_CYP_041821,PMI_CYP_041826,PMI_CYP_041829,PMI_CYP_041830,PMI_CYP_041833,PMI_CYP_041834,PMI_CYP_041835,PMI_CYP_041836,PMI_CYP_041838,PMI_CYP_041839,PMI_CYP_041840,PMI_CYP_041841,PMI_CYP_041842,PMI_CYP_041843,PMI_CYP_041845,PMI_CYP_041847,PMI_CYP_041849,PMI_CYP_041851,PMI_CYP_061601,PMI_CYP_061602,PMI_CYP_071606,PMI_LEB_0215633,PMI_LEB_0216630,PMI_LEB_0516634,PMI_LEB_635,PMI_LEB_651,PMI_LEB_733,PMI_LEB_734,PMI_LEB_743,PMI_LEB_744,PMI_LEB_746,PMI_RHO_041840,PMI_RHO_041841,PMI_RHO_041844,PMI_RHO_041845,PMI_RHO_041846,PMI_RHO_041847,PMI_RHO_041848,PMI_RHO_041850,PMI_RHO_041852
# Group defaultgrp	1,2
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
8	un	-3	0.05824	0.00000	0.00000	0.02617	0.00000	0.00000	0.04553	0.00000	0.00000
9	un	87	-0.01033	0.00000	0.00000	-0.00054	0.00000	0.00000	0.29869	0.00000	0.00000
11	un	171	0.12753	0.00000	0.00000	0.12150	0.00000	0.00000	0.34001	0.00000	0.00000
16	un	249	-0.03725	0.00000	0.00000	-0.01735	0.00000	0.00000	-0.01731	0.00000	0.00000
18	un	410	-0.03765	0.00000	0.00000	-0.02229	0.00000	0.00000	-0.01765	0.00000	0.00000
21	un	652	-0.00346	0.00000	0.00000	-0.00029	0.00000	0.00000	0.00307	0.00000	0.00000
22	un	739	-0.01883	0.00000	0.00000	-0.00587	0.00000	0.00000	-0.01130	0.00000	0.00000
25	un	905	0.27414	0.00000	0.00000	0.00670	0.00000	0.00000	0.16143	0.00000	0.00000
26	un	979	0.07401	0.00000	0.00000	0.06439	0.00000	0.00000	0.07230	0.00000	0.00000
33	un	1333	0.11793	0.00000	0.00000	0.09426	0.00000	0.00000	0.12040	0.00000	0.00000
35	un	1500	0.10751	0.00000	0.00000	0.02278	0.00000	0.00000	0.03585	0.00000	0.00000
40	un	1665	-0.01779	0.00000	0.00000	-0.01330	0.00000	0.00000	0.31606	0.00000	0.00000
45	un	1911	0.33732	0.00000	0.00000	0.33433	0.00000	0.00000	0.30886	0.00000	0.00000
48	un	2161	0.25121	0.00000	0.00000	0.18278	0.00000	0.00000	0.19989	0.00000	0.00000
49	un	2243	0.01178	0.00000	0.00000	0.00160	0.00000	0.00000	0.01425	0.00000	0.00000
55	un	2496	0.34114	0.00000	0.00000	0.01643	0.00000	0.00000	0.00943	0.00000	0.00000
56	un	2574	-0.00619	0.00000	0.00000	-0.00487	0.00000	0.00000	-0.00097	0.00000	0.00000
57	un	2654	-0.02620	0.00000	0.00000	-0.00066	0.00000	0.00000	0.17968	0.00000	0.00000
69	un	3247	0.28477	0.00000	0.00000	0.01268	0.00000	0.00000	0.02564	0.00000	0.00000
70	un	3322	-0.03157	0.00000	0.00000	-0.03175	0.00000	0.00000	-0.03273	0.00000	0.00000
75	un	3490	0.17048	0.00000	0.00000	0.00353	0.00000	0.00000	0.00000	0.00000	0.00000
78	un	3663	0.00122	0.00000	0.00000	0.00029	0.00000	0.00000	-0.00510	0.00000	0.00000
79	un	3742	0.03960	0.00000	0.00000	0.03793	0.00000	0.00000	0.04289	0.00000	0.00000
80	un	3819	-0.03212	0.00000	0.00000	-0.03261	0.00000	0.00000	-0.03492	0.00000	0.00000
81	un	3903	0.14545	0.00000	0.00000	0.00274	0.00000	0.00000	0.00000	0.00000	0.00000
82	un	3995	0.00633	0.00000	0.00000	0.00092	0.00000	0.00000	-0.01037	0.00000	0.00000
84	un	4156	0.27381	0.00000	0.00000	0.01262	0.00000	0.00000	0.00730	0.00000	0.00000
86	un	4333	-0.03787	0.00000	0.00000	-0.01585	0.00000	0.00000	-0.01697	0.00000	0.00000
89	un	4493	-0.00652	0.00000	0.00000	-0.00624	0.00000	0.00000	0.00133	0.00000	0.00000
91	un	4575	0.23455	0.00000	0.00000	0.04150	0.00000	0.00000	0.03304	0.00000	0.00000
95	un	4742	-0.00094	0.00000	0.00000	-0.00008	0.00000	0.00000	-0.00518	0.00000	0.00000
96	un	4820	0.16157	0.00000	0.00000	0.00349	0.00000	0.00000	0.00000	0.00000	0.00000
99	un	5079	-0.02524	0.00000	0.00000	-0.00086	0.00000	0.00000	0.00021	0.00000	0.00000
101	un	5159	-0.07569	0.00000	0.00000	-0.02506	0.00000	0.00000	0.75728	0.00000	0.00000
102	un	5247	-0.02480	0.00000	0.00000	-0.01413	0.00000	0.00000	-0.01169	0.00000	0.00000
105	un	5410	-0.03148	0.00000	0.00000	-0.00053	0.00000	0.00000	0.00000	0.00000	0.00000
108	un	5642	0.45338	0.00000	0.00000	0.03982	0.00000	0.00000	0.02985	0.00000	0.00000
111	un	5818	-0.01064	0.00000	0.00000	-0.00871	0.00000	0.00000	-0.01161	0.00000	0.00000
112	un	5897	0.11084	0.00000	0.00000	0.11475	0.00000	0.00000	0.12330	0.00000	0.00000
114	un	6059	0.01110	0.00000	0.00000	0.00313	0.00000	0.00000	0.00690	0.00000	0.00000
115	un	6142	0.14789	0.00000	0.00000	0.00275	0.00000	0.00000	0.00000	0.00000	0.00000
116	un	6224	-0.01654	0.00000	0.00000	-0.00792	0.00000	0.00000	-0.00942	0.00000	0.00000
123	un	6803	0.13339	0.00000	0.00000	0.12763	0.00000	0.00000	0.14129	0.00000	0.00000
125	un	6885	0.04585	0.00000	0.00000	0.02686	0.00000	0.00000	0.02249	0.00000	0.00000
127	un	6962	-0.03765	0.00000	0.00000	-0.02972	0.00000	0.00000	-0.03203	0.00000	0.00000
129	un	7048	-0.04098	0.00000	0.00000	-0.03913	0.00000	0.00000	-0.02127	0.00000	0.00000
133	un	7205	0.16753	0.00000	0.00000	0.00352	0.00000	0.00000	0.00000	0.00000	0.00000
141	un	7694	-0.03157	0.00000	0.00000	-0.00050	0.00000	0.00000	0.00000	0.00000	0.00000
143	un	7855	-0.03145	0.00000	0.00000	-0.00054	0.00000	0.00000	-0.00000	0.00000	0.00000
149	un	8278	0.65948	0.00000	0.00000	0.20798	0.00000	0.00000	0.19718	0.00000	0.00000
150	un	8359	-0.01092	0.00000	0.00000	-0.00181	0.00000	0.00000	0.01066	0.00000	0.00000
156	un	8692	0.05213	0.00000	0.00000	0.05325	0.00000	0.00000	0.06078	0.00000	0.00000
162	un	8855	0.01911	0.00000	0.00000	0.01760	0.00000	0.00000	0.05737	0.00000	0.00000
164	un	9015	0.03581	0.00000	0.00000	0.01377	0.00000	0.00000	0.02652	0.00000	0.00000
165	un	9096	-0.03399	0.00000	0.00000	-0.00885	0.00000	0.00000	-0.00156	0.00000	0.00000
170	un	9504	0.47260	0.00000	0.00000	0.13809	0.00000	0.00000	0.16619	0.00000	0.00000
172	un	9666	0.15806	0.00000	0.00000	0.08438	0.00000	0.00000	0.07581	0.00000	0.00000
176	un	9739	-0.00960	0.00000	0.00000	-0.00063	0.00000	0.00000	0.00292	0.00000	0.00000
179	un	9997	-0.03053	0.00000	0.00000	-0.03103	0.00000	0.00000	-0.03214	0.00000	0.00000
188	un	10399	0.04854	0.00000	0.00000	0.03644	0.00000	0.00000	0.04259	0.00000	0.00000
195	un	10804	-0.03607	0.00000	0.00000	-0.03685	0.00000	0.00000	0.31154	0.00000	0.00000
196	un	10886	0.13822	0.00000	0.00000	0.06654	0.00000	0.00000	0.08859	0.00000	0.00000
198	un	11058	-0.02565	0.00000	0.00000	-0.00184	0.00000	0.00000	-0.00268	0.00000	0.00000
201	un	11225	0.57377	0.00000	0.00000	0.24080	0.00000	0.00000	0.23070	0.00000	0.00000
202	un	11307	-0.02697	0.00000	0.00000	-0.02752	0.00000	0.00000	-0.01372	0.00000	0.00000
206	un	11550	0.16428	0.00000	0.00000	0.09092	0.00000	0.00000	0.10842	0.00000	0.00000
211	un	11629	-0.03332	0.00000	0.00000	-0.03385	0.00000	0.00000	-0.03511	0.00000	0.00000
213	un	11708	0.06916	0.00000	0.00000	0.03307	0.00000	0.00000	0.04432	0.00000	0.00000
216	un	11870	0.09552	0.00000	0.00000	0.00245	0.00000	0.00000	0.05509	0.00000	0.00000
218	un	11960	-0.03061	0.00000	0.00000	-0.03089	0.00000	0.00000	-0.03183	0.00000	0.00000
219	un	12039	-0.03370	0.00000	0.00000	-0.00417	0.00000	0.00000	-0.00410	0.00000	0.00000
221	un	12199	-0.02197	0.00000	0.00000	-0.00510	0.00000	0.00000	-0.00114	0.00000	0.00000
225	un	12449	0.00367	0.00000	0.00000	0.00098	0.00000	0.00000	-0.00598	0.00000	0.00000
228	un	12612	-0.03339	0.00000	0.00000	-0.03285	0.00000	0.00000	-0.03417	0.00000	0.00000
230	un	12780	0.17017	0.00000	0.00000	0.08838	0.00000	0.00000	0.13045	0.00000	0.00000
231	un	12857	0.06417	0.00000	0.00000	0.01098	0.00000	0.00000	0.00553	0.00000	0.00000
237	un	13120	0.13480	0.00000	0.00000	0.06002	0.00000	0.00000	0.06867	0.00000	0.00000
238	un	13205	0.45631	0.00000	0.00000	0.46087	0.00000	0.00000	0.45340	0.00000	0.00000
239	un	13286	0.06133	0.00000	0.00000	0.03061	0.00000	0.00000	0.02779	0.00000	0.00000
241	un	13447	-0.03323	0.00000	0.00000	-0.03376	0.00000	0.00000	-0.03502	0.00000	0.00000
246	un	13784	-0.03310	0.00000	0.00000	-0.03076	0.00000	0.00000	0.04457	0.00000	0.00000
247	un	13864	0.31597	0.00000	0.00000	0.26983	0.00000	0.00000	0.29106	0.00000	0.00000
250	un	14110	-0.03142	0.00000	0.00000	-0.00054	0.00000	0.00000	-0.00000	0.00000	0.00000
253	un	14270	-0.02158	0.00000	0.00000	-0.02008	0.00000	0.00000	-0.01902	0.00000	0.00000
256	un	14354	-0.03082	0.00000	0.00000	-0.03135	0.00000	0.00000	-0.03228	0.00000	0.00000
258	un	14515	-0.02687	0.00000	0.00000	-0.01975	0.00000	0.00000	-0.01004	0.00000	0.00000
259	un	14599	-0.02364	0.00000	0.00000	-0.01340	0.00000	0.00000	-0.01119	0.00000	0.00000
260	un	14677	0.13045	0.00000	0.00000	0.00267	0.00000	0.00000	0.00000	0.00000	0.00000
261	un	14757	0.27007	0.00000	0.00000	0.01260	0.00000	0.00000	0.00730	0.00000	0.00000
265	un	14931	-0.02803	0.00000	0.00000	-0.02842	0.00000	0.00000	-0.02909	0.00000	0.00000
268	un	15095	0.02456	0.00000	0.00000	0.01284	0.00000	0.00000	0.01837	0.00000	0.00000
270	un	15185	-0.04203	0.00000	0.00000	-0.04229	0.00000	0.00000	0.51312	0.00000	0.00000
271	un	15263	-0.02773	0.00000	0.00000	-0.00045	0.00000	0.00000	0.00000	0.00000	0.00000
272	un	15342	0.38080	0.00000	0.00000	0.36050	0.00000	0.00000	0.35149	0.00000	0.00000
273	un	15432	0.00283	0.00000	0.00000	0.00012	0.00000	0.00000	0.07537	0.00000	0.00000
276	un	15597	0.06975	0.00000	0.00000	0.03592	0.00000	0.00000	0.05363	0.00000	0.00000
280	un	15919	-0.02459	0.00000	0.00000	-0.00041	0.00000	0.00000	-0.00000	0.00000	0.00000
282	un	16084	0.10415	0.00000	0.00000	0.03919	0.00000	0.00000	0.05653	0.00000	0.00000
285	un	16240	-0.04209	0.00000	0.00000	-0.00600	0.00000	0.00000	-0.00070	0.00000	0.00000
286	un	16329	0.02389	0.00000	0.00000	0.01379	0.00000	0.00000	0.00712	0.00000	0.00000
289	un	16495	-0.03148	0.00000	0.00000	-0.00053	0.00000	0.00000	0.00000	0.00000	0.00000
290	un	16579	-0.03355	0.00000	0.00000	-0.00355	0.00000	0.00000	-0.00390	0.00000	0.00000
299	un	17153	-0.03425	0.00000	0.00000	-0.03467	0.00000	0.00000	-0.00617	0.00000	0.00000
301	un	17318	-0.33323	0.00000	0.00000	-0.00535	0.00000	0.00000	0.74786	0.00000	0.00000
302	un	17404	-0.01232	0.00000	0.00000	-0.01237	0.00000	0.00000	-0.01231	0.00000	0.00000
304	un	17563	0.01208	0.00000	0.00000	0.00422	0.00000	0.00000	0.01243	0.00000	0.00000
305	un	17639	0.02308	0.00000	0.00000	0.01092	0.00000	0.00000	0.03191	0.00000	0.00000
307	un	17726	-0.03151	0.00000	0.00000	-0.00052	0.00000	0.00000	0.00000	0.00000	0.00000
310	un	17976	0.16710	0.00000	0.00000	0.12462	0.00000	0.00000	0.19389	0.00000	0.00000
311	un	18054	-0.03148	0.00000	0.00000	-0.00053	0.00000	0.00000	0.00000	0.00000	0.00000
314	un	18219	0.17918	0.00000	0.00000	0.00357	0.00000	0.00000	0.00000	0.00000	0.00000
315	un	18297	0.15244	0.00000	0.00000	0.00345	0.00000	0.00000	0.00000	0.00000	0.00000
316	un	18375	0.10173	0.00000	0.00000	0.03902	0.00000	0.00000	0.05838	0.00000	0.00000
317	un	18467	-0.03362	0.00000	0.00000	-0.03026	0.00000	0.00000	-0.02528	0.00000	0.00000
321	un	18633	0.32136	0.00000	0.00000	0.27370	0.00000	0.00000	0.26493	0.00000	0.00000
322	un	18715	0.18624	0.00000	0.00000	0.03096	0.00000	0.00000	0.02106	0.00000	0.00000
329	un	18964	-0.00620	0.00000	0.00000	-0.00550	0.00000	0.00000	-0.00278	0.00000	0.00000
335	un	19287	0.03417	0.00000	0.00000	0.02645	0.00000	0.00000	0.09543	0.00000	0.00000
336	un	19363	0.04862	0.00000	0.00000	0.04269	0.00000	0.00000	0.04381	0.00000	0.00000
342	un	19700	-0.02300	0.00000	0.00000	-0.00524	0.00000	0.00000	-0.00148	0.00000	0.00000
346	un	19940	0.10406	0.00000	0.00000	0.04151	0.00000	0.00000	0.05186	0.00000	0.00000
348	un	20113	-0.03597	0.00000	0.00000	-0.03682	0.00000	0.00000	0.07513	0.00000	0.00000
351	un	20363	0.04263	0.00000	0.00000	0.02456	0.00000	0.00000	0.04373	0.00000	0.00000
354	un	20599	-0.03786	0.00000	0.00000	-0.01716	0.00000	0.00000	-0.01724	0.00000	0.00000
358	un	20858	-0.00190	0.00000	0.00000	-0.00083	0.00000	0.00000	0.00791	0.00000	0.00000
365	un	21193	-0.01929	0.00000	0.00000	-0.00098	0.00000	0.00000	0.00060	0.00000	0.00000
368	un	21442	0.03819	0.00000	0.00000	0.01390	0.00000	0.00000	0.01920	0.00000	0.00000
374	un	21780	-0.01499	0.00000	0.00000	-0.00897	0.00000	0.00000	-0.01321	0.00000	0.00000
375	un	21857	0.14544	0.00000	0.00000	0.06900	0.00000	0.00000	0.08714	0.00000	0.00000
376	un	21943	0.18393	0.00000	0.00000	0.18908	0.00000	0.00000	0.17392	0.00000	0.00000
386	un	22346	0.43526	0.00000	0.00000	0.06866	0.00000	0.00000	0.05685	0.00000	0.00000
390	un	22507	-0.03157	0.00000	0.00000	-0.00050	0.00000	0.00000	0.00000	0.00000	0.00000
394	un	22841	0.15032	0.00000	0.00000	0.00276	0.00000	0.00000	0.00000	0.00000	0.00000
404	un	23419	-0.03053	0.00000	0.00000	-0.03104	0.00000	0.00000	-0.03197	0.00000	0.00000
405	un	23499	0.26630	0.00000	0.00000	0.01258	0.00000	0.00000	0.00730	0.00000	0.00000
408	un	23579	0.04900	0.00000	0.00000	0.01918	0.00000	0.00000	0.03188	0.00000	0.00000
410	un	23740	0.69097	0.00000	0.00000	0.51120	0.00000	0.00000	0.50558	0.00000	0.00000
417	un	24072	0.23221	0.00000	0.00000	0.19178	0.00000	0.00000	0.21420	0.00000	0.00000
418	un	24153	-0.03808	0.00000	0.00000	-0.00538	0.00000	0.00000	-0.00120	0.00000	0.00000
419	un	24235	-0.00942	0.00000	0.00000	-0.00073	0.00000	0.00000	0.00293	0.00000	0.00000
420	un	24314	0.01209	0.00000	0.00000	0.00169	0.00000	0.00000	0.00586	0.00000	0.00000
428	un	24805	0.00586	0.00000	0.00000	0.00597	0.00000	0.00000	0.00358	0.00000	0.00000
429	un	24885	0.10163	0.00000	0.00000	0.08451	0.00000	0.00000	0.07664	0.00000	0.00000
436	un	25049	-0.01784	0.00000	0.00000	-0.00661	0.00000	0.00000	-0.00018	0.00000	0.00000
437	un	25129	-0.03151	0.00000	0.00000	-0.00052	0.00000	0.00000	0.00000	0.00000	0.00000
440	un	25291	0.10324	0.00000	0.00000	0.03825	0.00000	0.00000	0.05089	0.00000	0.00000
443	un	25461	0.06828	0.00000	0.00000	0.03065	0.00000	0.00000	0.03735	0.00000	0.00000
447	un	25793	-0.01908	0.00000	0.00000	-0.00311	0.00000	0.00000	-0.00541	0.00000	0.00000
448	un	25872	0.66241	0.00000	0.00000	0.71264	0.00000	0.00000	0.71506	0.00000	0.00000
449	un	25954	-0.03576	0.00000	0.00000	-0.03594	0.00000	0.00000	-0.03610	0.00000	0.00000
454	un	26194	0.05091	0.00000	0.00000	0.02005	0.00000	0.00000	0.02911	0.00000	0.00000
458	un	26454	-0.03154	0.00000	0.00000	-0.00051	0.00000	0.00000	0.00000	0.00000	0.00000
459	un	26538	-0.02651	0.00000	0.00000	-0.01024	0.00000	0.00000	-0.00663	0.00000	0.00000
461	un	26617	-0.01361	0.00000	0.00000	-0.00075	0.00000	0.00000	0.00074	0.00000	0.00000
464	un	26697	0.06609	0.00000	0.00000	0.06354	0.00000	0.00000	0.06218	0.00000	0.00000
472	un	27118	-0.03134	0.00000	0.00000	-0.00056	0.00000	0.00000	-0.00000	0.00000	0.00000
473	un	27200	0.01615	0.00000	0.00000	0.00640	0.00000	0.00000	-0.00016	0.00000	0.00000
481	un	27440	-0.03627	0.00000	0.00000	-0.00065	0.00000	0.00000	0.00279	0.00000	0.00000
482	un	27521	-0.03159	0.00000	0.00000	-0.00049	0.00000	0.00000	0.00000	0.00000	0.00000
493	un	28182	-0.03746	0.00000	0.00000	-0.03849	0.00000	0.00000	0.19331	0.00000	0.00000
495	un	28355	-0.01311	0.00000	0.00000	-0.00089	0.00000	0.00000	0.00217	0.00000	0.00000
503	un	28826	-0.01788	0.00000	0.00000	-0.01597	0.00000	0.00000	0.03834	0.00000	0.00000
504	un	28942	-0.02447	0.00000	0.00000	-0.00090	0.00000	0.00000	0.00024	0.00000	0.00000
505	un	29022	0.00513	0.00000	0.00000	0.00031	0.00000	0.00000	0.03483	0.00000	0.00000
506	un	29100	-0.03794	0.00000	0.00000	-0.03384	0.00000	0.00000	-0.02091	0.00000	0.00000
511	un	29345	0.01135	0.00000	0.00000	0.00150	0.00000	0.00000	0.08050	0.00000	0.00000
513	un	29443	0.13552	0.00000	0.00000	0.00270	0.00000	0.00000	0.00000	0.00000	0.00000
514	un	29516	-0.01118	0.00000	0.00000	-0.00510	0.00000	0.00000	0.00323	0.00000	0.00000
515	un	29609	-0.02512	0.00000	0.00000	-0.01085	0.00000	0.00000	-0.01456	0.00000	0.00000
522	un	30017	-0.02474	0.00000	0.00000	-0.00039	0.00000	0.00000	0.00000	0.00000	0.00000
523	un	30097	0.14362	0.00000	0.00000	0.06596	0.00000	0.00000	0.07936	0.00000	0.00000
526	un	30349	-0.03044	0.00000	0.00000	-0.03094	0.00000	0.00000	-0.03189	0.00000	0.00000
529	un	30514	0.04737	0.00000	0.00000	0.01113	0.00000	0.00000	0.02464	0.00000	0.00000
531	un	30686	0.00402	0.00000	0.00000	0.00280	0.00000	0.00000	0.01097	0.00000	0.00000
541	un	31430	0.15175	0.00000	0.00000	0.11783	0.00000	0.00000	0.11126	0.00000	0.00000
546	un	31679	0.01860	0.00000	0.00000	0.00259	0.00000	0.00000	0.01152	0.00000	0.00000
549	un	31837	0.19661	0.00000	0.00000	0.01315	0.00000	0.00000	0.00673	0.00000	0.00000
555	un	32243	0.14052	0.00000	0.00000	0.00272	0.00000	0.00000	0.00000	0.00000	0.00000
558	un	32347	0.26434	0.00000	0.00000	0.11907	0.00000	0.00000	0.10903	0.00000	0.00000
560	un	32427	-0.02883	0.00000	0.00000	-0.01714	0.00000	0.00000	-0.01951	0.00000	0.00000
562	un	32588	0.00202	0.00000	0.00000	0.00204	0.00000	0.00000	0.01262	0.00000	0.00000
565	un	32750	-0.02431	0.00000	0.00000	-0.02394	0.00000	0.00000	-0.02206	0.00000	0.00000
567	un	32830	0.15551	0.00000	0.00000	0.00346	0.00000	0.00000	0.00000	0.00000	0.00000
570	un	33077	-0.02481	0.00000	0.00000	-0.00038	0.00000	0.00000	0.00000	0.00000	0.00000
571	un	33165	-0.01998	0.00000	0.00000	-0.01798	0.00000	0.00000	-0.00333	0.00000	0.00000
573	un	33321	0.11984	0.00000	0.00000	0.00216	0.00000	0.00000	0.00000	0.00000	0.00000
574	un	33413	-0.02745	0.00000	0.00000	-0.00050	0.00000	0.00000	0.00000	0.00000	0.00000
575	un	33489	-0.00120	0.00000	0.00000	-0.00067	0.00000	0.00000	0.05225	0.00000	0.00000
577	un	33573	0.12531	0.00000	0.00000	0.00265	0.00000	0.00000	0.00000	0.00000	0.00000
581	un	33740	-0.02524	0.00000	0.00000	-0.00086	0.00000	0.00000	0.00021	0.00000	0.00000
584	un	33988	0.08927	0.00000	0.00000	0.02916	0.00000	0.00000	0.03609	0.00000	0.00000
586	un	34157	0.03021	0.00000	0.00000	0.00109	0.00000	0.00000	-0.00117	0.00000	0.00000
590	un	34322	0.16753	0.00000	0.00000	0.00352	0.00000	0.00000	0.00000	0.00000	0.00000
592	un	34489	-0.03741	0.00000	0.00000	-0.03806	0.00000	0.00000	-0.03799	0.00000	0.00000
595	un	34653	0.26153	0.00000	0.00000	0.19101	0.00000	0.00000	0.22273	0.00000	0.00000
596	un	34732	0.14052	0.00000	0.00000	0.00272	0.00000	0.00000	0.00000	0.00000	0.00000
597	un	34808	-0.01296	0.00000	0.00000	-0.00583	0.00000	0.00000	-0.00195	0.00000	0.00000
599	un	34900	0.15551	0.00000	0.00000	0.00346	0.00000	0.00000	0.05316	0.00000	0.00000
613	un	35563	0.05328	0.00000	0.00000	0.04762	0.00000	0.00000	0.04671	0.00000	0.00000
616	un	35723	0.13341	0.00000	0.00000	0.08909	0.00000	0.00000	0.11083	0.00000	0.00000
624	un	36210	0.20722	0.00000	0.00000	0.00473	0.00000	0.00000	0.02010	0.00000	0.00000
629	un	36464	0.17630	0.00000	0.00000	0.00355	0.00000	0.00000	0.01544	0.00000	0.00000
630	un	36549	0.13386	0.00000	0.00000	0.13744	0.00000	0.00000	0.21648	0.00000	0.00000
631	un	36629	-0.03151	0.00000	0.00000	-0.00052	0.00000	0.00000	0.00000	0.00000	0.00000
632	un	36713	0.17048	0.00000	0.00000	0.00353	0.00000	0.00000	0.00000	0.00000	0.00000
633	un	36793	0.01330	0.00000	0.00000	0.00865	0.00000	0.00000	0.01877	0.00000	0.00000
634	un	36873	-0.01276	0.00000	0.00000	-0.00842	0.00000	0.00000	0.00465	0.00000	0.00000
636	un	37033	0.23939	0.00000	0.00000	0.01005	0.00000	0.00000	0.00581	0.00000	0.00000
638	un	37196	0.13146	0.00000	0.00000	0.07806	0.00000	0.00000	0.09112	0.00000	0.00000
639	un	37276	-0.01783	0.00000	0.00000	-0.00829	0.00000	0.00000	-0.00490	0.00000	0.00000
640	un	37356	-0.03761	0.00000	0.00000	-0.02263	0.00000	0.00000	-0.02357	0.00000	0.00000
641	un	37435	0.31408	0.00000	0.00000	0.32719	0.00000	0.00000	0.32185	0.00000	0.00000
642	un	37516	0.17048	0.00000	0.00000	0.00353	0.00000	0.00000	0.00000	0.00000	0.00000
643	un	37595	0.30366	0.00000	0.00000	0.28182	0.00000	0.00000	0.27754	0.00000	0.00000
645	un	37760	-0.01064	0.00000	0.00000	-0.00427	0.00000	0.00000	-0.00098	0.00000	0.00000
650	un	38083	0.02452	0.00000	0.00000	0.02258	0.00000	0.00000	0.06463	0.00000	0.00000
657	un	38404	0.13045	0.00000	0.00000	0.00267	0.00000	0.00000	0.00000	0.00000	0.00000
